ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
27189.2,27194.0,1956.2,1955.2,1955.6,1239.2,1238.8,1238.9,8852.5,8851.3,8851.8,1674.2,1673.9,1674.5,5037.5,5037.8,124163.3,124190.9,19464.2,19455.8,19446.6,3065.8,3061.9,3060.4,1447.0,1446.9,1446.8,2492.5,2492.4,2492.6,15548.3,15552.4,24506.5,24515.5,4070.2,4070.1,4069.4,2351.3,2350.2,2350.2,5660.8,5658.8,5659.1,2586.2,2586.2,2586.2,89566.1,89569.9,6122.1,6125.4,1699.1,1697.8,1698.0,4874.6,4874.6,4874.8,1409.0,1408.3,1408.3,1704.5,1704.6,1704.9,4935.7,4934.7,35.279999,24.879999,Ambient_room
27173.1,27171.8,1954.6,1954.2,1954.5,1238.0,1237.6,1237.8,8846.5,8846.2,8846.1,1672.2,1672.2,1672.6,5034.7,5035.2,124190.3,124194.7,19443.0,19438.4,19433.2,3063.3,3059.8,3058.1,1445.8,1445.7,1445.8,2491.1,2491.4,2491.6,15546.1,15544.7,24495.9,24495.4,4067.4,4067.6,4067.2,2349.2,2348.4,2348.3,5648.9,5647.3,5644.9,2582.5,2582.4,2582.9,89439.4,89496.8,6121.5,6121.4,1696.9,1695.9,1695.9,4870.0,4870.7,4870.6,1408.0,1407.0,1407.3,1703.5,1703.1,1703.9,4934.3,4934.5,34.860001,24.92,Ambient_room
27171.0,27175.3,1954.3,1953.8,1954.0,1236.8,1236.5,1236.5,8837.4,8835.9,8836.7,1669.2,1669.2,1669.6,5030.9,5030.6,124122.1,124154.9,19435.5,19417.9,19422.4,3061.2,3057.9,3055.9,1444.2,1443.9,1443.9,2490.4,2490.2,2490.3,15546.9,15546.7,24468.7,24483.9,4061.2,4061.4,4061.0,2348.2,2347.0,2347.4,5643.3,5641.5,5641.0,2579.4,2579.6,2579.5,89474.9,89499.1,6118.4,6117.2,1695.9,1694.7,1694.4,4865.5,4865.3,4866.2,1406.8,1406.4,1406.4,1703.5,1703.2,1703.2,4933.3,4933.5,34.810001,24.940001,Ambient_room
27164.3,27165.8,1953.7,1953.0,1953.4,1235.8,1235.4,1235.6,8830.9,8830.3,8829.4,1667.1,1667.4,1667.3,5028.0,5027.6,124097.4,124038.4,19406.6,19394.4,19400.7,3058.6,3055.6,3053.9,1442.1,1441.8,1441.8,2486.7,2486.5,2486.7,15540.9,15544.0,24462.9,24469.2,4052.4,4051.8,4052.6,2346.8,2346.4,2346.1,5625.6,5624.6,5625.3,2574.7,2575.0,2575.1,89390.1,89398.0,6116.4,6114.2,1694.9,1694.3,1694.1,4863.9,4863.0,4864.0,1407.3,1406.8,1406.8,1704.0,1704.1,1704.3,4933.2,4933.1,34.91,24.959999,Ambient_room
27171.3,27168.9,1952.5,1951.8,1952.3,1235.2,1235.0,1234.8,8827.3,8826.9,8826.3,1667.6,1667.6,1667.7,5026.1,5026.3,123993.0,123939.3,19402.7,19396.7,19397.0,3060.2,3056.8,3054.9,1442.9,1442.7,1442.8,2489.2,2488.5,2489.0,15546.7,15548.0,24501.4,24506.3,4053.9,4053.5,4053.3,2348.5,2347.7,2348.1,5633.5,5631.6,5631.1,2577.5,2577.6,2577.8,89396.1,89405.2,6110.9,6112.4,1695.1,1694.4,1694.3,4861.7,4861.4,4861.3,1406.6,1405.5,1405.8,1704.1,1704.1,1704.3,4931.8,4930.9,35.560001,24.98,Ambient_room
27148.8,27150.3,1950.3,1950.1,1950.2,1234.1,1233.9,1233.9,8820.6,8819.8,8820.5,1666.0,1666.4,1666.7,5023.2,5023.1,123968.7,123965.9,19408.3,19391.4,19388.4,3059.6,3056.3,3055.8,1442.0,1441.9,1442.0,2487.5,2487.7,2488.7,15550.5,15551.6,24482.4,24480.4,4049.9,4048.2,4049.6,2349.7,2348.6,2348.8,5629.4,5627.8,5628.5,2576.0,2576.4,2576.3,89411.6,89397.8,6110.9,6109.0,1695.1,1694.2,1694.1,4859.5,4857.8,4858.9,1406.8,1405.9,1405.9,1705.2,1705.1,1705.2,4931.1,4930.5,35.41,24.959999,Ambient_room
27141.2,27144.1,1948.6,1948.4,1949.0,1234.0,1233.9,1234.3,8819.8,8820.3,8820.2,1668.0,1667.9,1668.4,5022.6,5022.5,123968.8,123972.9,19422.8,19409.4,19405.5,3060.4,3058.0,3056.2,1442.2,1442.0,1441.8,2488.2,2487.6,2488.3,15543.0,15544.2,24482.6,24496.1,4046.5,4046.1,4045.4,2349.2,2348.2,2348.5,5620.3,5618.5,5619.2,2574.4,2574.2,2574.9,89315.0,89351.5,6110.2,6109.1,1695.7,1694.8,1694.7,4857.7,4856.7,4856.9,1406.6,1406.1,1406.2,1705.9,1705.6,1706.0,4930.6,4929.3,35.720001,24.99,Ambient_room
27169.7,27167.8,1951.3,1950.7,1951.0,1235.5,1235.3,1235.5,8820.7,8819.5,8818.8,1667.9,1668.6,1669.0,5021.3,5020.7,123885.8,123946.2,19410.0,19404.3,19399.9,3062.5,3059.5,3057.6,1442.5,1442.4,1442.4,2489.7,2489.4,2489.9,15553.5,15554.1,24493.8,24500.0,4045.9,4045.7,4046.2,2349.0,2348.0,2348.0,5615.3,5614.2,5614.4,2572.9,2572.6,2573.2,89348.0,89353.1,6106.5,6106.7,1695.8,1694.7,1694.7,4856.1,4856.3,4856.8,1405.6,1405.1,1405.2,1705.7,1705.0,1705.8,4930.5,4930.5,36.029999,25.01,Ambient_room
27158.9,27157.1,1949.8,1949.6,1949.7,1235.2,1234.9,1235.1,8812.0,8811.2,8812.2,1666.6,1666.3,1666.9,5018.5,5018.3,123989.1,123952.9,19400.6,19399.1,19399.7,3061.7,3059.2,3057.4,1441.3,1441.1,1441.2,2488.3,2488.2,2488.0,15548.2,15548.6,24481.9,24485.4,4039.3,4038.7,4038.8,2349.3,2348.1,2348.5,5604.5,5603.2,5604.0,2569.9,2570.1,2570.1,89257.2,89262.6,6100.9,6102.4,1694.9,1694.3,1694.2,4852.3,4852.0,4853.0,1405.8,1405.2,1405.1,1706.1,1706.0,1706.3,4929.6,4930.5,35.59,25.01,Ambient_room
27159.9,27161.3,1949.4,1948.8,1949.0,1234.9,1234.8,1234.9,8809.1,8808.9,8808.1,1666.5,1666.4,1667.1,5016.6,5016.3,124025.0,123935.3,19408.4,19397.7,19393.2,3063.8,3061.1,3058.7,1441.9,1441.9,1441.8,2488.7,2488.2,2488.9,15551.2,15551.1,24478.0,24476.8,4040.6,4040.1,4040.3,2349.8,2348.8,2348.9,5609.7,5610.0,5608.1,2572.7,2572.7,2572.9,89288.3,89348.0,6102.4,6103.0,1696.5,1695.5,1695.5,4852.2,4851.3,4851.6,1405.4,1404.6,1404.7,1705.7,1705.5,1705.6,4928.0,4926.7,36.049999,25.049999,Ambient_room
27147.4,27152.4,1948.4,1947.8,1948.1,1234.6,1234.5,1234.6,8803.3,8802.7,8802.4,1664.4,1664.4,1664.8,5013.9,5013.8,123901.6,123987.5,19399.6,19388.1,19390.0,3062.6,3059.0,3056.7,1440.9,1440.6,1440.6,2487.7,2487.8,2487.6,15552.7,15553.5,24468.6,24466.8,4035.8,4035.1,4034.4,2349.8,2348.7,2348.7,5594.9,5592.8,5591.8,2568.0,2567.9,2568.4,89142.8,89125.2,6100.4,6099.6,1695.3,1694.1,1693.8,4844.9,4844.2,4844.7,1405.7,1405.0,1405.3,1707.0,1706.8,1707.6,4927.6,4928.2,35.830002,25.040001,Ambient_room
27148.7,27151.3,1947.5,1946.7,1946.8,1235.1,1234.6,1234.6,8800.2,8800.4,8800.3,1665.2,1664.9,1665.5,5012.0,5012.1,123771.2,123883.1,19424.4,19416.4,19420.4,3066.4,3063.1,3061.4,1442.2,1442.1,1442.3,2490.2,2490.0,2490.3,15551.7,15551.1,24482.1,24489.1,4034.3,4033.4,4033.2,2351.5,2350.7,2350.7,5596.0,5594.7,5595.2,2569.6,2569.5,2569.9,89186.1,89246.7,6097.4,6096.4,1696.1,1695.2,1695.4,4846.0,4845.4,4846.4,1405.8,1405.3,1405.2,1707.2,1706.9,1707.1,4929.1,4929.3,36.23,25.059999,Ambient_room
27147.7,27151.6,1947.7,1947.1,1947.3,1235.9,1235.5,1235.5,8800.2,8801.0,8801.6,1664.6,1664.7,1665.2,5011.5,5011.3,123936.1,124021.4,19419.6,19412.9,19410.3,3066.0,3062.9,3061.2,1441.9,1441.6,1441.7,2489.1,2488.9,2489.6,15557.3,15552.6,24477.8,24477.9,4028.8,4029.1,4029.1,2350.5,2349.1,2349.7,5587.0,5585.6,5583.7,2567.9,2567.6,2568.1,89137.1,89169.4,6096.7,6096.3,1696.0,1695.2,1695.3,4847.9,4847.2,4848.4,1404.7,1404.2,1404.3,1706.8,1706.2,1706.5,4928.6,4928.9,36.580002,25.09,Ambient_room
27154.0,27152.7,1948.5,1948.0,1948.2,1235.9,1235.9,1236.0,8798.6,8798.2,8798.4,1663.1,1663.9,1664.2,5010.2,5010.4,123953.5,123919.0,19429.1,19419.2,19415.1,3066.0,3062.7,3060.8,1441.2,1440.8,1440.8,2489.4,2489.1,2489.3,15546.8,15545.8,24468.7,24462.4,4028.0,4026.6,4026.4,2349.4,2348.9,2348.9,5574.0,5572.8,5573.0,2565.0,2564.7,2565.2,89088.0,89078.8,6092.3,6092.1,1694.3,1693.4,1693.4,4841.0,4841.5,4842.0,1403.9,1403.5,1403.3,1706.5,1706.3,1706.6,4926.9,4926.7,36.290001,25.09,Ambient_room
