ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
27136.7,27133.0,1846.7,1845.9,1845.8,1170.7,1170.1,1170.1,7512.6,7513.2,7513.2,1510.6,1510.8,1511.1,4289.0,4289.1,111091.8,111161.3,16103.2,16097.5,16096.8,2761.2,2759.3,2757.9,1346.2,1346.1,1346.2,2395.5,2396.0,2395.4,15736.0,15735.4,23340.6,23336.9,3985.9,3985.2,3984.1,2255.4,2254.1,2254.5,4820.9,4819.5,4818.1,2409.1,2408.9,2408.5,77843.5,77814.2,5119.8,5120.7,1597.6,1596.5,1596.4,4177.0,4176.7,4176.7,1365.1,1364.1,1364.5,1682.7,1683.0,1683.5,4797.6,4796.8,29.17,29.33,CocaCola
27083.7,27087.7,1846.4,1845.8,1846.1,1167.7,1167.2,1167.3,7518.0,7518.2,7518.2,1507.5,1507.5,1507.9,4287.0,4286.9,111248.3,111195.6,16123.3,16117.5,16123.2,2766.1,2763.5,2761.5,1345.0,1344.6,1344.8,2393.1,2392.7,2393.5,15729.3,15728.2,23327.6,23323.3,3963.1,3962.4,3962.4,2254.8,2254.0,2254.1,4803.1,4802.2,4800.9,2395.1,2394.8,2394.8,77714.1,77732.9,5119.0,5118.7,1595.6,1594.3,1594.4,4177.5,4176.7,4177.9,1365.5,1365.0,1365.0,1684.3,1683.8,1684.0,4796.2,4796.2,33.080002,29.309999,CocaCola
27063.3,27060.8,1847.9,1847.0,1847.3,1167.0,1166.8,1166.7,7525.4,7525.7,7525.8,1506.3,1506.2,1506.7,4286.5,4286.8,111095.2,111251.4,16143.1,16135.2,16132.6,2769.0,2766.0,2764.1,1345.6,1345.4,1345.6,2394.5,2394.1,2394.0,15726.8,15729.1,23350.4,23353.1,3956.4,3956.6,3956.8,2256.5,2255.3,2255.7,4804.8,4801.7,4802.8,2390.8,2390.6,2391.0,77779.7,77790.8,5118.0,5118.4,1594.8,1593.8,1593.9,4180.3,4180.2,4180.8,1365.8,1365.2,1365.5,1684.7,1684.9,1684.7,4794.3,4794.9,37.200001,29.299999,CocaCola
27060.7,27062.1,1847.4,1847.1,1847.3,1167.4,1166.8,1166.9,7533.8,7533.8,7534.6,1507.1,1507.3,1507.9,4286.8,4287.0,111119.2,111184.1,16143.9,16140.0,16142.9,2770.8,2767.3,2765.9,1346.5,1346.4,1346.5,2394.3,2394.0,2394.1,15727.8,15723.6,23346.8,23352.2,3951.0,3950.8,3951.1,2257.0,2256.3,2256.7,4801.7,4800.6,4800.4,2386.7,2386.0,2386.7,77789.0,77792.4,5119.2,5118.9,1594.5,1593.7,1593.6,4180.7,4180.0,4180.1,1366.1,1365.3,1365.4,1683.1,1684.5,1684.8,4794.5,4794.1,39.639999,29.309999,CocaCola
27072.2,27069.5,1848.0,1847.4,1847.5,1167.4,1166.8,1167.1,7540.9,7541.0,7541.4,1506.6,1507.3,1507.7,4288.0,4287.9,111118.1,111056.6,16161.3,16155.2,16149.5,2773.6,2770.7,2768.6,1347.1,1346.9,1347.0,2394.3,2394.6,2394.8,15720.7,15720.3,23360.6,23356.5,3950.8,3950.8,3951.4,2259.2,2258.4,2258.4,4808.8,4808.7,4807.2,2386.1,2385.5,2386.0,77824.6,77784.7,5122.4,5121.6,1595.9,1594.8,1595.1,4185.2,4185.5,4186.3,1367.4,1366.7,1366.9,1685.2,1684.8,1685.7,4796.9,4795.1,41.139999,29.34,CocaCola
27081.8,27082.0,1848.7,1848.3,1848.1,1168.9,1168.4,1168.4,7549.4,7550.2,7550.8,1509.8,1509.2,1510.0,4289.5,4289.4,111139.5,111174.2,16169.6,16166.9,16167.4,2775.2,2772.3,2770.7,1348.6,1348.4,1348.6,2396.6,2396.2,2397.3,15726.1,15723.9,23372.6,23373.9,3950.2,3950.2,3950.6,2260.4,2259.6,2259.7,4810.0,4809.9,4808.7,2384.5,2384.3,2384.5,77834.3,77836.4,5122.1,5121.3,1595.6,1595.1,1595.1,4188.3,4187.2,4188.0,1367.9,1367.4,1367.3,1687.2,1687.0,1687.5,4796.2,4796.7,42.240002,29.309999,CocaCola
27099.8,27095.8,1849.3,1848.8,1848.9,1170.1,1169.6,1169.6,7558.4,7558.0,7558.9,1510.8,1511.0,1511.4,4290.9,4291.2,111197.7,111145.5,16176.9,16181.8,16176.0,2776.4,2773.9,2772.3,1349.8,1349.9,1350.1,2397.9,2397.7,2398.1,15724.2,15722.8,23389.1,23392.3,3950.3,3949.5,3949.2,2261.8,2260.7,2260.9,4813.2,4811.6,4812.2,2384.8,2384.4,2384.6,77857.7,77844.7,5124.9,5123.4,1596.6,1595.5,1595.2,4190.3,4190.3,4191.0,1368.7,1367.9,1368.1,1687.9,1687.5,1687.8,4798.3,4798.2,42.759998,29.360001,CocaCola
27094.9,27100.0,1849.9,1849.8,1850.0,1170.3,1169.8,1169.9,7568.0,7568.5,7568.3,1510.9,1510.9,1512.1,4292.1,4291.8,111193.1,111237.4,16204.2,16203.0,16195.5,2779.8,2776.8,2775.3,1351.3,1351.0,1351.3,2399.4,2399.5,2399.8,15734.1,15730.4,23413.3,23404.6,3950.8,3951.2,3951.7,2263.5,2262.7,2262.5,4820.6,4819.0,4819.6,2384.6,2384.0,2384.4,77910.8,77906.7,5126.8,5127.2,1597.1,1596.1,1596.1,4195.6,4196.0,4196.0,1369.8,1369.4,1369.5,1688.3,1688.6,1688.6,4799.7,4801.2,43.349998,29.33,CocaCola
27106.9,27112.1,1851.0,1850.5,1850.7,1171.5,1171.0,1170.9,7578.5,7578.9,7578.6,1512.7,1513.1,1513.3,4293.6,4293.5,111228.0,111194.8,16206.3,16198.9,16199.2,2782.3,2779.4,2778.2,1352.5,1352.4,1352.4,2399.2,2399.3,2399.8,15735.6,15737.6,23408.1,23409.5,3949.6,3949.9,3949.8,2264.2,2263.7,2263.8,4821.5,4819.6,4819.0,2383.1,2382.3,2382.4,77973.7,77984.2,5130.1,5129.9,1597.7,1596.4,1596.6,4200.5,4200.3,4200.7,1371.1,1370.3,1370.4,1689.3,1689.1,1690.0,4801.2,4801.0,44.080002,29.34,CocaCola
27122.2,27123.8,1852.2,1851.7,1851.9,1172.7,1172.4,1172.5,7589.1,7589.5,7589.2,1514.4,1514.4,1514.8,4295.3,4295.2,111350.3,111351.7,16218.8,16208.1,16205.2,2784.1,2781.5,2780.2,1354.5,1354.2,1354.4,2401.9,2402.2,2402.3,15745.2,15737.8,23402.6,23409.1,3954.3,3954.4,3954.0,2266.0,2264.8,2265.4,4825.9,4824.6,4824.4,2383.9,2383.4,2383.8,78006.0,78001.1,5132.0,5132.4,1598.4,1597.2,1597.5,4203.9,4202.8,4204.1,1372.4,1371.6,1371.7,1690.7,1690.5,1690.3,4802.9,4801.7,44.630001,29.33,CocaCola
