ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
24814.9,24811.3,1662.9,1662.7,1662.7,1062.3,1062.1,1062.1,6506.2,6505.3,6504.9,1341.5,1341.4,1341.7,3843.9,3843.9,105178.2,105201.4,14599.9,14591.7,14590.5,2600.9,2598.9,2597.5,1260.0,1259.8,1259.9,2189.9,2189.8,2190.7,14587.6,14587.3,21145.7,21129.0,3608.1,3607.8,3607.8,2110.0,2109.3,2109.5,4152.0,4151.0,4150.2,2166.9,2166.7,2167.5,72176.0,72148.5,4735.8,4735.3,1457.6,1456.5,1456.5,3606.5,3606.7,3606.8,1249.3,1248.6,1248.5,1594.4,1593.9,1594.4,4413.1,4412.8,31.08,29.16,CocaCola_Cold
24786.7,24786.1,1662.1,1661.8,1662.1,1060.7,1060.3,1060.6,6509.1,6508.8,6509.1,1340.6,1340.5,1340.8,3842.7,3843.2,105250.0,105274.4,14597.3,14595.6,14595.0,2602.3,2600.4,2598.8,1259.9,1259.6,1259.8,2189.4,2189.3,2189.6,14593.3,14595.6,21136.2,21140.1,3600.8,3600.6,3601.2,2110.7,2109.8,2110.2,4154.9,4154.2,4155.7,2165.1,2164.9,2165.4,72164.7,72167.0,4736.8,4736.0,1457.9,1457.1,1456.7,3608.6,3608.5,3609.2,1249.9,1249.0,1249.0,1595.3,1595.3,1595.1,4414.0,4414.0,33.919998,29.15,CocaCola_Cold
24791.5,24791.3,1662.6,1661.9,1662.2,1060.4,1060.1,1060.3,6509.8,6509.3,6509.2,1340.4,1340.4,1340.6,3842.8,3843.2,105254.3,105229.3,14611.7,14604.0,14602.7,2603.1,2600.9,2600.0,1260.2,1260.1,1260.1,2189.9,2190.1,2190.2,14589.7,14591.5,21159.1,21160.2,3601.5,3602.0,3602.3,2111.0,2110.7,2110.5,4155.3,4153.6,4153.7,2164.2,2164.3,2164.8,72175.8,72215.1,4737.4,4737.2,1457.6,1456.4,1456.7,3610.9,3611.3,3612.0,1250.0,1249.6,1249.6,1595.3,1594.7,1595.2,4414.0,4413.4,35.799999,29.16,CocaCola_Cold
24807.7,24808.5,1663.7,1663.0,1663.0,1061.0,1060.6,1060.8,6512.5,6512.3,6512.2,1340.9,1341.0,1341.5,3843.6,3843.4,105225.2,105215.9,14612.2,14601.2,14603.6,2603.6,2600.9,2599.9,1260.3,1260.1,1260.3,2189.0,2188.9,2188.7,14590.2,14587.8,21142.2,21151.9,3598.6,3598.4,3598.3,2110.6,2110.1,2110.5,4150.4,4149.0,4148.8,2162.9,2162.4,2162.7,72159.8,72150.9,4734.2,4736.5,1457.6,1456.7,1456.6,3610.6,3610.1,3611.1,1250.2,1249.5,1249.8,1595.5,1595.2,1595.8,4411.8,4412.2,36.59,29.17,CocaCola_Cold
24796.0,24799.2,1663.5,1663.1,1663.3,1061.1,1060.8,1060.9,6515.5,6515.4,6515.4,1341.1,1341.3,1342.2,3844.2,3843.9,105208.0,105270.3,14619.2,14603.5,14607.6,2603.5,2601.9,2600.5,1261.3,1261.1,1261.2,2191.3,2191.5,2191.8,14589.6,14593.5,21166.5,21167.7,3604.0,3603.3,3604.2,2112.8,2112.0,2112.0,4157.8,4156.0,4155.7,2165.4,2165.2,2165.3,72219.7,72204.4,4735.7,4736.9,1458.6,1457.6,1457.7,3610.9,3611.8,3611.7,1250.1,1249.7,1249.6,1594.5,1594.2,1594.7,4412.1,4410.1,36.970001,29.17,CocaCola_Cold
24796.3,24797.0,1663.4,1663.2,1663.4,1061.7,1061.4,1061.8,6518.2,6517.6,6518.4,1342.2,1342.4,1343.0,3844.7,3844.7,105200.2,105244.5,14621.6,14614.7,14614.3,2604.3,2601.8,2600.5,1261.6,1261.4,1261.4,2190.9,2190.9,2191.1,14595.4,14592.7,21185.5,21183.6,3602.5,3602.3,3602.1,2113.6,2112.9,2113.1,4159.2,4158.2,4157.8,2165.5,2165.6,2165.7,72169.2,72172.2,4738.2,4737.8,1459.7,1458.5,1458.4,3612.4,3612.7,3613.6,1250.5,1250.2,1250.2,1594.8,1595.0,1595.7,4412.4,4413.1,36.560001,29.16,CocaCola_Cold
24800.0,24800.0,1662.6,1662.1,1662.5,1062.4,1062.1,1062.4,6518.3,6517.5,6519.0,1342.6,1342.5,1343.1,3844.6,3844.7,105293.0,105237.4,14613.7,14607.2,14601.8,2605.3,2603.8,2602.1,1261.9,1261.8,1262.0,2192.0,2192.1,2192.6,14597.2,14600.6,21194.3,21194.8,3604.2,3604.1,3603.9,2114.3,2113.7,2114.1,4163.6,4163.4,4162.7,2166.6,2166.4,2167.1,72259.3,72273.6,4740.2,4741.7,1460.9,1459.9,1460.0,3614.0,3614.2,3614.5,1251.5,1250.9,1251.1,1596.0,1596.0,1596.3,4414.4,4414.2,36.200001,29.15,CocaCola_Cold
24827.9,24825.9,1664.0,1663.7,1664.3,1063.9,1063.5,1063.7,6522.6,6522.1,6523.6,1344.8,1344.8,1345.6,3846.3,3846.6,105357.9,105337.6,14624.7,14620.4,14612.5,2606.9,2604.7,2603.5,1262.6,1262.6,1262.6,2193.0,2192.6,2193.1,14598.0,14599.9,21179.8,21175.0,3603.8,3603.7,3604.3,2115.2,2114.4,2114.4,4165.1,4163.8,4164.0,2168.0,2168.1,2168.2,72280.6,72295.0,4741.6,4741.0,1461.9,1461.0,1461.1,3616.2,3616.3,3617.6,1251.9,1251.2,1251.5,1596.2,1595.5,1596.1,4414.6,4415.7,35.950001,29.190001,CocaCola_Cold
24822.1,24818.3,1664.5,1664.1,1664.2,1064.5,1064.4,1064.5,6521.9,6521.3,6521.5,1345.1,1345.1,1345.7,3846.1,3846.2,105201.6,105207.9,14624.6,14615.9,14619.2,2606.9,2604.2,2602.9,1262.9,1262.8,1262.8,2193.3,2193.1,2193.4,14597.1,14595.5,21191.3,21193.4,3604.7,3603.5,3604.8,2114.8,2113.5,2113.9,4164.3,4162.8,4163.0,2168.2,2167.7,2168.0,72260.0,72239.6,4740.4,4740.6,1461.9,1461.0,1461.2,3616.7,3616.2,3616.8,1252.0,1251.4,1251.4,1596.0,1595.7,1596.2,4414.7,4413.7,34.849998,29.16,CocaCola_Cold
24817.0,24817.4,1664.9,1664.3,1664.4,1064.9,1064.6,1064.9,6522.8,6522.4,6522.4,1345.1,1344.8,1345.8,3846.4,3846.4,105244.0,105270.6,14635.5,14622.8,14628.5,2607.6,2604.8,2603.7,1263.2,1263.1,1263.1,2193.4,2193.2,2193.2,14592.9,14595.4,21178.5,21181.7,3605.8,3605.7,3606.1,2114.4,2113.8,2113.9,4164.2,4162.6,4162.7,2168.8,2168.8,2169.0,72300.7,72285.4,4740.0,4741.2,1462.9,1461.7,1461.5,3617.4,3617.1,3617.6,1252.1,1251.5,1251.5,1595.9,1595.6,1595.3,4415.3,4415.6,34.240002,29.16,CocaCola_Cold
24823.3,24822.1,1664.5,1664.2,1664.3,1065.2,1064.9,1065.1,6522.6,6523.2,6523.1,1345.2,1345.7,1346.1,3846.4,3846.4,105229.6,105209.4,14624.6,14619.0,14619.9,2607.0,2604.1,2603.5,1264.1,1263.8,1264.0,2194.1,2194.4,2194.6,14595.9,14595.7,21198.3,21188.0,3609.8,3609.5,3610.3,2115.1,2114.3,2114.6,4168.9,4167.1,4166.9,2170.1,2170.1,2170.3,72274.8,72304.8,4739.2,4739.2,1462.5,1461.5,1461.7,3615.7,3616.1,3616.5,1251.7,1250.9,1250.8,1596.3,1596.1,1596.8,4415.2,4413.8,33.82,29.16,CocaCola_Cold
24820.7,24820.2,1664.7,1664.3,1664.5,1065.3,1064.8,1065.3,6523.5,6523.0,6522.4,1345.5,1345.8,1346.6,3846.2,3846.4,105251.9,105329.7,14622.6,14617.5,14617.9,2607.1,2604.3,2603.2,1264.3,1264.1,1264.3,2194.5,2194.6,2194.6,14595.1,14596.0,21187.2,21189.3,3613.7,3613.1,3612.7,2115.7,2114.8,2115.0,4174.0,4173.3,4171.9,2172.7,2172.6,2173.1,72295.6,72313.2,4740.6,4740.5,1463.0,1461.8,1461.8,3616.7,3616.3,3616.3,1251.8,1251.0,1251.3,1595.7,1595.6,1595.9,4412.6,4413.0,33.490002,29.16,CocaCola_Cold
24817.8,24817.5,1665.1,1664.4,1664.5,1065.5,1065.1,1065.5,6523.0,6523.4,6523.2,1345.4,1345.1,1345.7,3846.6,3846.2,105245.1,105194.6,14633.1,14629.5,14623.3,2606.0,2603.3,2602.4,1264.7,1264.6,1264.7,2195.7,2195.5,2195.8,14588.9,14589.5,21195.0,21191.3,3618.6,3618.7,3619.2,2116.2,2115.4,2115.6,4180.4,4179.3,4179.6,2175.8,2176.1,2176.3,72340.1,72355.1,4741.8,4741.5,1462.6,1461.8,1461.6,3616.8,3616.2,3616.9,1251.5,1250.8,1251.0,1595.5,1595.2,1596.2,4414.1,4413.2,33.150002,29.15,CocaCola_Cold
24817.7,24817.2,1665.5,1664.4,1665.0,1065.6,1065.4,1065.7,6522.4,6521.5,6521.8,1345.4,1345.3,1345.8,3845.7,3845.9,105304.4,105287.2,14626.8,14629.9,14616.2,2605.1,2603.0,2601.4,1264.6,1264.4,1264.6,2194.7,2195.3,2195.5,14593.6,14593.1,21183.4,21186.8,3619.8,3619.6,3619.4,2115.5,2114.8,2115.0,4178.3,4176.5,4176.4,2176.4,2175.8,2176.1,72314.0,72297.7,4738.8,4739.9,1462.3,1461.5,1461.2,3615.8,3615.6,3615.6,1251.6,1250.9,1250.9,1596.5,1595.8,1596.2,4412.4,4413.6,32.5,29.129999,CocaCola_Cold
24810.7,24813.0,1664.7,1664.3,1664.4,1065.6,1065.2,1065.5,6520.0,6520.7,6520.5,1345.1,1345.2,1345.5,3845.6,3846.1,105308.2,105259.7,14628.2,14619.3,14618.3,2605.4,2602.9,2601.5,1264.3,1264.3,1264.4,2194.4,2195.1,2194.7,14591.8,14589.5,21189.1,21185.7,3618.8,3618.5,3618.5,2115.7,2114.8,2115.1,4174.2,4173.1,4173.8,2175.1,2175.2,2175.4,72312.3,72343.1,4738.5,4738.4,1463.0,1461.9,1461.8,3616.2,3616.1,3616.3,1251.0,1250.5,1250.9,1595.9,1596.0,1596.8,4414.8,4415.2,32.23,29.15,CocaCola_Cold
24819.1,24818.1,1665.0,1664.4,1664.6,1065.8,1065.4,1065.6,6520.9,6520.4,6520.0,1345.0,1345.2,1345.5,3845.8,3845.9,105263.8,105324.6,14627.7,14619.9,14616.3,2605.6,2603.0,2601.8,1264.7,1264.5,1264.5,2195.0,2195.0,2195.8,14589.9,14590.8,21194.8,21185.8,3622.1,3621.2,3621.3,2116.4,2115.3,2115.5,4178.7,4177.7,4177.9,2177.5,2177.4,2177.7,72342.4,72305.3,4738.7,4739.7,1462.4,1461.2,1461.2,3615.2,3614.7,3615.4,1251.3,1250.8,1251.0,1595.3,1595.1,1595.6,4416.2,4416.9,32.419998,29.129999,CocaCola_Cold
24821.2,24821.9,1664.6,1664.4,1664.4,1065.5,1065.4,1065.5,6518.8,6518.3,6518.0,1344.9,1344.7,1345.2,3845.2,3845.1,105227.2,105313.2,14614.5,14611.2,14601.1,2604.2,2602.2,2601.5,1264.4,1264.0,1264.1,2194.6,2194.4,2194.7,14592.4,14592.3,21190.8,21183.1,3620.3,3621.1,3621.7,2115.7,2115.0,2115.3,4176.7,4176.9,4176.9,2176.9,2177.0,2177.2,72277.1,72263.4,4739.0,4738.8,1461.7,1461.1,1461.1,3615.9,3615.4,3616.8,1251.2,1250.8,1250.7,1595.7,1596.3,1596.6,4414.5,4414.7,32.150002,29.120001,CocaCola_Cold
24815.5,24822.4,1664.2,1664.0,1664.1,1065.3,1065.0,1065.2,6519.0,6517.8,6518.9,1344.6,1344.8,1344.8,3845.0,3845.3,105298.2,105241.7,14628.1,14623.0,14608.6,2604.2,2602.1,2601.8,1264.7,1264.5,1264.6,2195.4,2195.4,2195.3,14591.3,14591.1,21179.7,21187.6,3623.6,3623.4,3623.1,2116.2,2115.5,2115.6,4181.2,4179.9,4179.5,2178.8,2178.6,2178.9,72333.9,72339.0,4740.6,4738.0,1462.7,1461.8,1461.8,3615.2,3615.3,3616.3,1251.7,1250.9,1251.1,1596.4,1596.2,1595.9,4416.5,4416.6,32.369999,29.129999,CocaCola_Cold
24818.9,24819.7,1664.1,1663.6,1663.8,1065.6,1065.4,1065.7,6518.4,6518.0,6518.5,1344.8,1344.6,1345.5,3845.0,3844.9,105394.8,105345.7,14613.7,14616.8,14609.3,2605.1,2602.1,2600.3,1264.3,1264.2,1264.2,2194.7,2194.2,2194.8,14595.5,14593.5,21175.5,21181.8,3622.0,3621.5,3622.0,2115.6,2114.8,2115.0,4176.0,4175.3,4175.5,2177.4,2177.4,2177.9,72320.5,72316.4,4739.1,4737.4,1462.0,1461.2,1461.0,3614.7,3614.8,3615.3,1251.6,1250.9,1251.0,1595.9,1595.5,1595.9,4417.6,4417.2,32.209999,29.16,CocaCola_Cold
