ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
30754.2,30753.5,2170.3,2169.7,2169.9,1451.9,1451.4,1451.4,10030.6,10031.1,10030.8,1909.9,1909.2,1909.9,5202.8,5202.9,122385.1,122445.1,19549.1,19540.9,19525.0,3147.1,3143.1,3140.6,1649.9,1649.8,1649.9,2790.5,2790.6,2791.3,17349.7,17351.2,26946.1,26954.4,4427.7,4427.3,4427.6,2476.7,2475.5,2475.7,6025.1,6021.7,6020.4,2968.0,2967.1,2966.9,88115.8,88125.6,6033.2,6031.1,1814.8,1813.8,1813.5,5551.7,5552.1,5551.5,1588.0,1587.7,1587.6,1778.2,1778.4,1778.5,5396.5,5396.9,38.549999,28.610001,Dasani_Water
30741.0,30743.4,2166.1,2165.7,2166.0,1447.8,1447.2,1446.9,10030.7,10029.8,10030.4,1903.9,1904.1,1904.9,5198.8,5198.6,122439.6,122376.6,19549.9,19533.7,19528.8,3148.7,3144.5,3141.7,1649.6,1649.3,1649.4,2788.5,2788.9,2789.6,17351.3,17349.5,26918.2,26932.8,4421.3,4420.8,4420.5,2477.1,2475.8,2475.8,6016.6,6015.9,6017.6,2959.0,2959.0,2960.2,88152.4,88140.6,6028.7,6031.3,1812.0,1810.5,1810.6,5552.5,5552.8,5553.5,1588.0,1587.8,1587.8,1778.7,1778.6,1779.5,5396.0,5394.8,39.459999,28.620001,Dasani_Water
30765.6,30761.3,2166.9,2166.2,2166.4,1448.2,1447.2,1447.3,10039.7,10038.9,10039.2,1906.3,1906.5,1907.4,5199.2,5198.8,122196.4,122317.7,19541.7,19520.6,19525.1,3149.1,3145.4,3142.7,1649.9,1649.6,1649.7,2788.9,2789.1,2789.0,17353.5,17353.7,26911.9,26931.7,4422.8,4422.0,4422.2,2477.8,2476.5,2476.7,6020.6,6020.7,6020.2,2959.5,2959.1,2958.9,88124.7,88101.9,6028.7,6030.2,1813.5,1812.8,1812.6,5555.6,5556.1,5555.6,1589.5,1588.9,1589.0,1779.7,1779.1,1779.9,5394.2,5395.8,41.650002,28.65,Dasani_Water
30779.8,30782.5,2168.2,2167.7,2168.1,1449.7,1449.1,1448.9,10077.7,10076.5,10076.9,1908.1,1908.9,1908.9,5200.1,5199.6,122337.7,122366.0,19545.3,19539.6,19516.5,3148.8,3144.9,3143.1,1651.5,1651.2,1651.4,2790.3,2790.4,2790.5,17356.8,17358.1,26975.5,26968.8,4430.0,4430.4,4430.8,2478.6,2477.7,2477.8,6033.0,6031.3,6030.6,2964.8,2964.6,2964.5,88216.2,88195.3,6031.0,6031.3,1816.3,1815.0,1814.6,5560.6,5560.3,5559.6,1590.3,1590.1,1590.3,1779.4,1780.1,1779.7,5399.5,5398.4,42.380001,28.639999,Dasani_Water
30805.2,30802.2,2169.8,2169.0,2169.4,1452.4,1451.6,1451.7,10086.6,10085.3,10085.8,1911.8,1911.9,1912.6,5200.8,5201.2,122355.2,122421.2,19549.3,19536.6,19530.4,3151.2,3147.0,3145.1,1652.4,1652.1,1652.1,2792.2,2791.9,2792.0,17353.8,17354.4,26971.8,26978.9,4435.1,4435.1,4435.3,2480.1,2479.3,2479.3,6035.8,6033.3,6032.8,2966.9,2966.0,2967.2,88190.8,88210.1,6032.8,6031.3,1818.2,1817.0,1816.7,5563.2,5563.0,5563.5,1591.7,1591.1,1591.3,1781.3,1781.7,1781.5,5399.9,5400.1,42.189999,28.639999,Dasani_Water
30795.7,30804.1,2170.6,2170.0,2170.9,1453.4,1452.9,1453.2,10092.5,10093.0,10093.6,1913.2,1913.6,1914.4,5202.2,5202.1,122329.3,122291.9,19571.0,19559.8,19546.3,3152.4,3148.4,3146.3,1652.6,1652.4,1652.4,2791.0,2791.1,2791.5,17361.4,17360.4,26975.4,26965.5,4436.2,4436.2,4436.7,2480.7,2479.9,2479.9,6033.0,6031.7,6032.5,2965.8,2965.3,2965.5,88180.8,88185.3,6036.2,6036.5,1820.3,1819.4,1819.3,5567.2,5565.9,5566.9,1592.9,1592.5,1592.6,1782.2,1781.9,1782.2,5400.7,5400.7,41.610001,28.639999,Dasani_Water
30803.6,30803.0,2170.4,2170.0,2170.2,1454.0,1453.2,1453.3,10097.0,10097.0,10097.3,1911.0,1912.0,1912.2,5199.9,5200.2,122430.9,122415.0,19545.9,19544.4,19544.7,3153.6,3149.9,3147.5,1652.2,1651.8,1652.0,2790.6,2791.3,2791.9,17354.5,17355.7,26978.8,26973.3,4433.2,4432.6,4432.2,2481.3,2480.0,2480.4,6026.3,6026.0,6023.6,2959.4,2958.9,2959.1,88096.3,88082.3,6036.2,6036.3,1818.7,1818.1,1818.1,5568.7,5568.1,5569.1,1593.6,1593.0,1593.1,1782.7,1782.4,1782.4,5401.4,5403.2,41.349998,28.620001,Dasani_Water
30803.5,30807.4,2172.3,2171.9,2172.4,1454.5,1454.5,1454.3,10106.6,10105.7,10105.5,1914.2,1914.2,1915.0,5202.3,5201.7,122343.3,122388.0,19565.9,19568.4,19560.2,3154.4,3151.0,3148.1,1654.3,1653.8,1654.0,2793.3,2793.4,2794.0,17360.0,17355.6,26984.7,26977.0,4443.5,4442.7,4442.8,2482.5,2481.8,2482.0,6042.1,6041.1,6039.7,2966.3,2965.1,2965.5,88198.4,88232.1,6037.4,6036.2,1820.3,1819.1,1818.9,5571.8,5572.2,5572.8,1594.6,1594.5,1594.2,1783.8,1784.4,1784.1,5403.8,5403.3,42.220001,28.67,Dasani_Water
30827.0,30833.5,2174.6,2173.9,2174.0,1457.1,1456.6,1456.6,10114.2,10112.5,10112.8,1917.9,1918.4,1918.6,5202.9,5202.7,122303.5,122238.4,19571.7,19546.7,19549.6,3153.7,3150.7,3148.1,1655.7,1655.5,1655.4,2794.4,2794.2,2795.0,17355.0,17356.7,26970.1,26966.2,4449.8,4450.3,4449.9,2483.7,2482.3,2482.2,6045.8,6044.6,6043.7,2971.4,2970.5,2969.7,88255.1,88215.8,6036.0,6036.9,1822.6,1821.4,1821.2,5574.2,5574.0,5574.6,1596.0,1595.1,1595.6,1785.4,1785.1,1785.0,5402.9,5402.2,42.200001,28.639999,Dasani_Water
30819.4,30820.6,2175.7,2175.4,2175.5,1459.0,1458.4,1458.4,10117.7,10118.1,10117.1,1918.4,1919.4,1919.9,5202.9,5202.6,122432.8,122385.4,19573.1,19573.5,19565.4,3154.9,3151.4,3149.4,1655.9,1655.7,1655.8,2795.0,2794.8,2795.4,17366.3,17365.3,27001.4,26995.2,4454.2,4455.1,4454.8,2484.6,2483.7,2483.3,6045.4,6041.9,6042.7,2969.2,2968.9,2968.5,88250.6,88249.9,6036.3,6036.6,1823.5,1822.6,1822.2,5574.9,5573.5,5575.5,1596.4,1596.2,1596.4,1785.7,1784.8,1785.6,5403.7,5403.0,41.509998,28.65,Dasani_Water
