ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
28247.7,28242.2,1946.1,1945.6,1945.7,1246.8,1246.4,1246.2,8237.5,8237.3,8239.5,1613.0,1612.7,1613.6,4556.9,4556.7,114657.1,114784.1,17194.0,17183.6,17174.3,2885.4,2882.4,2881.1,1415.6,1415.5,1415.6,2517.4,2517.4,2517.9,16283.1,16283.0,24342.5,24356.5,4136.6,4137.0,4137.0,2326.2,2325.3,2325.3,5159.7,5158.3,5158.3,2561.5,2561.5,2561.5,80797.1,80802.1,5395.0,5395.1,1674.7,1673.7,1673.5,4545.1,4545.0,4545.6,1425.4,1424.9,1424.6,1720.6,1720.6,1720.9,4990.1,4988.9,32.34,29.34,RedBull
28243.6,28246.5,1946.9,1946.4,1946.7,1246.1,1245.7,1246.0,8241.5,8240.4,8241.6,1612.9,1612.8,1613.2,4556.6,4556.2,114718.3,114657.8,17195.4,17184.9,17184.8,2885.8,2882.2,2880.0,1416.2,1416.1,1416.2,2517.3,2517.1,2517.5,16277.9,16273.9,24366.9,24375.2,4139.2,4138.0,4138.7,2327.7,2326.7,2326.9,5162.4,5160.8,5160.0,2561.4,2561.3,2561.9,80843.9,80830.1,5393.5,5394.0,1674.8,1673.6,1673.6,4546.9,4546.4,4547.0,1426.2,1425.7,1425.8,1720.5,1720.6,1721.2,4992.3,4991.9,34.830002,29.34,RedBull
28263.3,28259.5,1947.6,1947.5,1947.5,1246.8,1246.2,1246.4,8249.0,8248.7,8248.3,1613.6,1613.7,1614.3,4557.0,4556.9,114798.0,114839.8,17205.8,17192.9,17192.1,2885.9,2882.2,2881.2,1416.3,1416.1,1416.2,2516.2,2515.9,2516.8,16278.3,16274.7,24377.3,24371.7,4137.3,4137.0,4137.1,2328.9,2327.5,2328.2,5162.5,5162.2,5162.3,2560.9,2560.8,2560.9,80905.8,80859.4,5397.9,5396.1,1675.6,1674.1,1674.4,4550.0,4549.4,4550.0,1426.6,1426.0,1426.2,1721.8,1722.4,1722.3,4991.9,4991.0,35.939999,29.33,RedBull
28262.2,28254.3,1948.0,1947.5,1947.4,1247.1,1246.9,1247.1,8251.6,8252.2,8252.2,1613.4,1614.0,1613.9,4557.4,4557.1,114687.7,114740.0,17194.6,17186.0,17183.4,2887.2,2884.0,2882.8,1416.8,1416.7,1416.7,2516.9,2517.4,2517.3,16274.2,16276.6,24376.6,24382.7,4139.6,4138.7,4138.4,2330.1,2328.7,2328.8,5166.5,5166.0,5165.6,2562.6,2562.0,2561.7,80892.1,80879.1,5396.4,5396.2,1676.5,1675.5,1675.4,4551.2,4551.6,4552.2,1427.4,1426.8,1427.2,1721.9,1721.4,1722.0,4991.7,4991.1,36.41,29.309999,RedBull
28266.5,28258.3,1948.8,1948.1,1948.3,1248.0,1247.6,1247.8,8256.3,8256.5,8257.5,1614.9,1614.7,1615.2,4558.4,4558.3,114804.7,114711.2,17204.5,17192.9,17198.8,2886.9,2883.6,2882.4,1417.2,1417.0,1417.2,2517.2,2517.5,2517.5,16279.8,16280.9,24358.4,24363.9,4140.4,4140.6,4141.3,2331.0,2329.8,2330.1,5169.4,5169.4,5168.0,2562.0,2561.5,2562.3,80884.8,80933.6,5397.0,5397.2,1677.5,1676.6,1676.7,4553.8,4553.9,4554.1,1428.6,1427.8,1428.3,1723.4,1723.1,1723.5,4991.7,4994.3,36.68,29.360001,RedBull
28278.1,28274.0,1949.2,1948.6,1948.6,1249.0,1248.5,1248.7,8261.5,8261.5,8261.6,1616.0,1616.3,1617.2,4558.9,4559.0,114778.2,114746.9,17200.6,17192.7,17197.4,2888.3,2885.4,2883.7,1418.2,1418.1,1418.1,2518.2,2517.9,2518.9,16280.3,16280.1,24366.4,24365.6,4144.2,4144.2,4145.0,2332.2,2331.6,2331.8,5174.0,5173.3,5173.2,2565.5,2565.3,2565.6,80904.6,80869.0,5398.6,5399.1,1679.3,1678.6,1678.4,4557.9,4557.7,4558.3,1429.3,1428.6,1428.6,1723.7,1723.8,1724.0,4992.3,4992.2,36.740002,29.360001,RedBull
28288.4,28286.9,1950.2,1949.7,1949.9,1250.3,1250.0,1250.1,8266.3,8266.3,8265.4,1618.1,1617.7,1618.5,4560.0,4559.9,114653.2,114722.6,17203.8,17201.5,17200.4,2890.5,2887.3,2885.5,1419.3,1419.2,1419.0,2518.7,2518.9,2519.8,16280.3,16275.3,24392.2,24391.0,4145.7,4146.0,4146.4,2334.0,2333.1,2333.2,5176.0,5174.1,5173.6,2565.6,2565.4,2565.7,80920.0,80902.2,5400.1,5401.2,1679.1,1678.0,1677.8,4556.1,4556.7,4557.9,1429.3,1429.3,1429.1,1724.1,1724.0,1724.3,4995.4,4994.8,36.439999,29.360001,RedBull
28303.2,28300.0,1950.3,1950.1,1950.2,1250.8,1250.3,1250.5,8270.0,8269.7,8270.5,1617.4,1617.3,1617.8,4560.5,4560.3,114787.6,114744.6,17226.1,17218.4,17210.6,2891.3,2888.2,2886.5,1419.9,1419.9,1419.8,2519.9,2519.6,2520.4,16282.5,16281.0,24386.8,24397.7,4148.8,4148.0,4148.6,2334.7,2333.6,2333.4,5179.3,5178.1,5178.3,2567.5,2567.4,2567.4,80913.7,80945.3,5401.9,5401.8,1679.8,1678.9,1678.8,4559.0,4559.5,4559.3,1430.3,1429.5,1429.6,1724.6,1724.2,1724.6,4993.7,4992.5,36.43,29.34,RedBull
28286.6,28283.1,1950.5,1950.1,1950.2,1250.8,1250.5,1250.6,8272.2,8270.7,8272.6,1618.8,1618.6,1618.7,4560.9,4560.6,114781.5,114715.8,17227.0,17223.2,17218.8,2892.2,2889.5,2887.9,1420.8,1420.7,1420.8,2520.6,2520.4,2521.6,16289.6,16289.2,24412.0,24418.7,4151.7,4151.2,4152.2,2336.2,2335.3,2335.7,5183.2,5182.2,5182.9,2568.8,2568.3,2569.0,80976.9,81012.3,5402.1,5402.6,1680.6,1679.4,1679.1,4560.9,4561.6,4561.2,1430.7,1430.1,1430.1,1723.8,1723.9,1724.7,4995.7,4994.9,36.66,29.34,RedBull
28294.2,28296.8,1951.9,1951.6,1951.6,1251.6,1251.4,1251.3,8277.1,8276.8,8277.4,1619.8,1619.7,1620.5,4561.5,4561.4,114680.1,114808.2,17214.7,17213.2,17201.0,2891.4,2888.6,2886.9,1421.7,1421.4,1421.5,2522.0,2522.1,2522.5,16285.8,16286.4,24420.2,24429.7,4157.9,4157.7,4158.2,2336.3,2335.4,2335.6,5189.4,5188.1,5187.6,2571.8,2570.8,2571.1,81032.9,81026.4,5404.0,5402.5,1681.1,1679.6,1680.0,4562.6,4562.3,4561.9,1431.2,1430.6,1430.7,1725.0,1724.8,1725.8,4996.4,4998.2,36.77,29.360001,RedBull
28301.4,28306.1,1952.4,1952.2,1952.4,1252.4,1251.9,1252.0,8280.4,8280.3,8280.8,1621.0,1621.0,1621.3,4562.2,4562.0,114811.8,114810.9,17220.7,17209.9,17208.3,2892.3,2889.8,2887.4,1422.2,1422.0,1422.0,2521.0,2521.1,2521.6,16289.1,16287.3,24400.2,24397.1,4161.5,4161.0,4161.5,2336.9,2335.8,2336.0,5193.8,5191.8,5192.9,2572.8,2572.7,2572.9,80994.3,80992.8,5404.5,5404.7,1681.7,1680.7,1680.7,4564.4,4565.2,4565.4,1431.7,1431.0,1430.9,1725.1,1724.8,1725.3,4996.8,4998.7,36.650002,29.370001,RedBull
