ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
18458.2,18469.2,1282.9,1283.2,1283.2,1101.5,1101.4,1101.4,4658.9,4660.7,4661.6,1101.4,1101.4,1101.4,3058.9,3059.0,81974.3,82290.2,9906.9,9916.2,9914.6,1966.8,1967.8,1968.8,1101.5,1101.4,1101.4,1658.8,1659.4,1660.4,11254.2,11255.5,16535.6,16532.0,2841.3,2845.2,2849.2,1627.7,1628.5,1629.7,3579.3,3581.1,3583.9,1613.1,1613.6,1614.8,51246.4,51276.6,3878.9,3878.8,1129.2,1128.5,1128.6,2675.3,2675.1,2675.4,1101.4,1101.4,1101.4,1280.5,1280.1,1280.3,3555.8,3555.9,28.030001,45.310001,Kahve
18590.5,18587.6,1297.8,1296.2,1295.2,1101.5,1101.4,1101.4,4673.2,4673.6,4674.4,1101.4,1101.4,1101.4,3064.3,3064.7,82091.6,82244.4,9932.4,9933.8,9937.7,1967.5,1968.5,1969.3,1101.4,1101.4,1101.4,1669.2,1669.0,1670.0,11274.8,11282.5,16637.4,16634.9,2900.2,2900.9,2902.7,1633.5,1634.1,1635.2,3629.8,3630.3,3631.3,1631.2,1631.5,1632.2,51507.4,51524.9,3883.8,3883.3,1133.0,1132.1,1132.2,2678.9,2677.8,2676.4,1101.4,1101.4,1101.4,1280.9,1280.3,1280.6,3554.8,3553.8,28.030001,49.25,Kahve
18504.6,18498.6,1288.1,1286.6,1285.4,1101.4,1101.4,1101.4,4672.5,4671.8,4672.5,1101.5,1101.4,1101.4,3061.2,3061.1,82063.2,82200.2,9910.3,9913.1,9923.5,1973.3,1974.6,1976.3,1101.4,1101.4,1101.4,1646.1,1646.6,1647.4,11271.5,11272.2,16581.8,16576.1,2713.1,2713.8,2714.9,1624.3,1624.9,1626.3,3509.9,3514.4,3518.6,1598.0,1599.6,1601.3,51376.1,51500.6,3883.9,3884.6,1129.5,1128.9,1129.3,2688.3,2688.4,2688.0,1101.4,1101.4,1101.4,1282.1,1281.3,1281.6,3556.4,3556.0,28.030001,44.580002,Kahve
18544.4,18535.2,1287.4,1286.7,1287.2,1101.4,1101.4,1101.4,4701.6,4702.5,4703.3,1101.4,1101.4,1101.4,3066.3,3066.6,82296.3,82434.7,9968.8,9967.6,9970.6,1978.4,1979.5,1980.7,1101.5,1101.4,1101.4,1652.7,1653.2,1654.2,11300.8,11304.8,16643.5,16649.2,2799.2,2803.7,2808.0,1631.6,1632.3,1633.5,3570.0,3572.0,3572.6,1619.9,1620.8,1621.6,51528.9,51610.9,3882.7,3883.5,1128.3,1126.6,1125.5,2668.3,2667.8,2668.1,1101.5,1101.4,1101.4,1279.6,1278.7,1278.6,3552.7,3553.0,28.030001,48.220001,Kahve
18564.7,18585.4,1286.5,1285.5,1284.8,1101.4,1101.5,1101.5,4716.0,4716.2,4716.8,1101.5,1101.4,1101.4,3067.0,3067.5,82283.5,82561.7,9987.2,9992.5,9987.5,1982.4,1984.0,1985.4,1101.4,1101.4,1101.4,1655.7,1656.5,1658.3,11323.0,11326.6,16674.5,16676.1,2793.1,2791.0,2785.7,1628.7,1628.3,1628.5,3508.1,3501.8,3498.5,1594.0,1593.2,1592.0,51104.2,51184.6,3877.6,3877.6,1112.4,1110.5,1109.1,2682.8,2683.3,2686.2,1101.4,1101.4,1101.4,1275.4,1275.2,1275.8,3560.9,3560.8,28.040001,49.299999,Kahve
18662.8,18680.2,1286.5,1287.0,1287.8,1101.4,1101.4,1101.4,4758.7,4758.4,4758.5,1101.4,1101.4,1101.4,3074.9,3075.1,82576.4,82717.4,10020.7,10022.3,10023.4,1987.7,1989.5,1990.6,1101.4,1101.4,1101.4,1651.8,1650.8,1650.2,11297.1,11293.1,16624.9,16623.2,2616.5,2608.0,2602.4,1618.5,1619.0,1620.9,3434.0,3439.3,3443.6,1573.3,1573.9,1574.3,51489.8,51562.7,3891.5,3892.3,1109.3,1108.9,1109.1,2725.7,2725.4,2725.8,1101.4,1101.4,1101.4,1279.2,1278.9,1279.1,3569.3,3568.7,28.059999,55.18,Kahve
18741.4,18755.8,1292.7,1293.2,1294.1,1101.5,1101.4,1101.4,4803.8,4803.2,4803.5,1101.4,1101.4,1101.4,3085.5,3085.6,82703.8,82992.9,10051.2,10057.9,10054.3,1992.1,1993.9,1995.1,1101.5,1101.4,1101.4,1662.9,1662.9,1663.1,11370.6,11374.2,16719.9,16719.6,2727.2,2725.3,2727.2,1627.7,1628.4,1629.4,3492.0,3495.6,3499.1,1599.4,1600.3,1601.4,51698.0,51830.8,3901.6,3901.6,1115.4,1114.4,1114.2,2740.2,2740.7,2740.8,1101.4,1101.4,1101.4,1277.2,1276.2,1275.9,3572.5,3572.7,28.059999,63.139999,Kahve
18765.1,18769.2,1285.5,1286.1,1286.7,1101.5,1101.4,1101.4,4827.6,4828.2,4828.5,1101.4,1101.4,1101.4,3091.1,3091.0,82874.2,82986.6,10078.9,10083.4,10085.8,1996.0,1997.1,1998.2,1101.5,1101.4,1101.4,1664.6,1663.7,1662.9,11380.7,11382.6,16739.9,16747.7,2714.0,2711.3,2709.5,1626.4,1626.7,1627.0,3459.8,3457.2,3456.0,1578.5,1578.5,1578.7,51722.5,51803.3,3914.2,3915.1,1109.3,1109.2,1109.9,2776.8,2777.4,2778.2,1101.5,1101.4,1101.4,1279.8,1279.4,1279.1,3584.2,3584.5,28.110001,64.989998,Kahve
18835.2,18847.4,1290.4,1290.9,1291.8,1101.5,1101.4,1101.4,4870.2,4871.3,4871.6,1101.5,1101.4,1101.4,3101.9,3101.8,82988.9,83067.5,10109.7,10107.1,10111.6,2000.4,2001.9,2002.7,1101.4,1101.4,1101.4,1663.3,1663.1,1663.2,11400.9,11400.4,16756.7,16743.3,2643.5,2631.2,2621.5,1622.3,1623.5,1625.6,3438.2,3448.2,3457.7,1582.9,1585.6,1588.8,52037.7,52149.4,3926.9,3927.3,1106.3,1105.8,1106.5,2803.1,2803.8,2805.8,1101.4,1101.4,1101.4,1281.4,1280.7,1280.9,3597.1,3596.8,28.110001,68.510002,Kahve
18923.1,18926.9,1290.6,1291.1,1292.1,1101.4,1101.4,1101.5,4908.0,4909.4,4910.1,1101.4,1101.4,1101.4,3111.6,3111.5,82977.5,83225.0,10126.3,10126.4,10128.0,2004.2,2005.9,2007.3,1101.5,1101.4,1101.4,1673.3,1673.1,1674.2,11458.0,11468.5,16913.6,16924.8,2817.5,2823.3,2828.6,1639.3,1640.2,1641.3,3577.8,3579.5,3582.7,1633.3,1634.8,1636.1,52674.8,52753.8,3948.4,3948.4,1127.3,1126.9,1127.7,2831.3,2831.3,2831.8,1101.4,1101.4,1101.4,1285.4,1285.5,1285.3,3605.7,3605.0,28.110001,70.32,Kahve
19016.4,19029.9,1303.0,1303.2,1303.8,1101.5,1101.4,1101.4,4941.5,4942.2,4943.1,1101.5,1101.4,1101.4,3122.2,3122.0,83126.8,83289.7,10157.4,10161.9,10159.8,2004.2,2005.6,2006.6,1101.4,1101.4,1101.4,1684.3,1684.2,1685.3,11493.2,11492.4,16942.2,16952.2,2902.6,2902.6,2903.8,1645.3,1645.3,1645.4,3593.6,3588.1,3582.9,1646.6,1645.1,1643.6,52363.4,52405.6,3951.8,3952.2,1129.6,1128.7,1128.6,2828.3,2828.1,2829.3,1101.4,1101.4,1101.4,1285.5,1285.2,1285.6,3610.1,3613.8,28.1,70.519997,Kahve
