ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,temperature,humidity,label
4109486.8,4796805.5,4291692.0,6299059.0,5288169.5,6181726.5,4264120.5,5817913.5,4944855.0,4801763.0,4319622.5,6273542.5,4791858.0,4191039.0,4955403.0,4629519.5,4592908.0,5008824.5,4699763.0,4877373.0,4439313.5,4965996.0,5417660.5,4456345.5,5276159.0,3806477.0,4414009.0,6108579.5,4887635.0,5288169.5,5520658.0,4704522.0,4944855.0,5252301.5,4939598.0,4624911.0,4543502.5,4225341.5,5282157.5,6368127.5,4955403.0,4752645.0,7163407.0,4918680.5,5222781.0,4821695.5,3908956.5,4992677.5,4836754.0,4597453.0,6044998.5,4499502.0,5119200.0,4950123.5,5423985.0,4680824.0,4777077.5,4690274.5,3915545.0,5041434.0,4530212.5,4811708.5,4777077.5,4368358.0,26.3,46.1,kolonya
4372469.0,6165321.0,5627647.5,5982727.0,6100559.0,5614047.5,5952070.0,5975033.0,5068935.0,4624911.0,6265083.5,5661937.5,5580333.5,4714068.5,5041434.0,5306288.0,5689671.5,5540407.5,5216916.5,6368127.5,5998174.0,5876784.5,4772171.0,6342050.0,5944454.5,5264203.0,5373798.0,5349051.0,5423985.0,6412070.0,4923893.5,5392509.0,5614047.5,5975033.0,6928401.0,4175971.5,5443048.0,5430324.5,5675770.5,4836754.0,5119200.0,6044998.5,6689009.0,4801763.0,4897940.0,12536929.0,3935444.5,4295660.0,5990440.5,5944454.5,5675770.5,6052873.5,4414009.0,5553652.5,5449432.0,5282157.5,5975033.0,5324531.0,5211065.0,5405055.5,5533808.5,5349051.0,5205227.0,4323642.0,26.3,46.1,kolonya
3879580.8,6438727.5,4010172.5,5008824.5,4229188.0,4552406.0,3860240.8,3465751.0,5392509.0,4153572.0,4138772.2,4291692.0,3499688.0,3955547.2,4414009.0,4728461.0,4521395.0,4811708.5,4887635.0,3583361.0,4252412.5,4131411.8,4525799.5,4503863.5,4116769.2,3853837.0,4495149.0,4897940.0,5063411.0,3942122.8,4091393.0,3721116.2,3668234.5,4351991.0,5682712.5,5367590.0,4473508.5,4087793.2,3905670.5,5014230.5,3790948.0,4547950.0,4327669.5,4062771.8,5324531.0,4236901.0,4248524.0,3886070.5,3787857.2,3483942.5,4343853.5,3569595.8,4597453.0,4084199.8,4105855.2,5731786.0,5294195.5,3996375.2,4971309.5,4315610.0,4183491.5,3733075.5,4077032.0,4929117.0,26.3,46.0,kolonya
5336763.0,4976634.5,5580333.5,5443048.0,5258245.5,5614047.5,4976634.5,4648045.0,5547022.0,6359411.0,6076623.0,5052398.5,5731786.0,4791858.0,5258245.5,4831724.0,5620839.5,5008824.5,5205227.0,5634472.0,5035970.0,6189962.5,5817913.5,4271962.0,5330640.0,5147558.0,5417660.5,6394420.5,5952070.0,5990440.5,4882498.5,5164724.0,5113565.5,5593770.5,5392509.0,5035970.0,5998174.0,5324531.0,6256646.5,5264203.0,6650709.5,6708325.0,8392677.0,6206500.0,5164724.0,5300234.5,4439313.5,4846845.0,6786716.0,5921725.5,5475118.5,4841794.0,5724723.5,5046910.5,5373798.0,5113565.5,4950123.5,5124846.5,5689671.5,4939598.0,6412070.0,5312355.0,5825208.0,5891689.0,26.3,46.0,kolonya
4615722.0,5107944.0,4801763.0,4752645.0,4738105.0,4629519.5,5107944.0,5136177.0,4680824.0,5330640.0,4268037.5,4456345.5,5891689.0,4841794.0,5234549.0,3853837.0,4987318.5,4643399.5,5102334.5,3958917.8,5540407.5,5187791.0,5041434.0,5580333.5,4666719.5,4418206.5,4652699.5,4981970.5,5119200.0,4368358.0,5193590.0,4781994.5,4530212.5,5455831.0,4010172.5,4217670.5,4657363.5,6189962.5,5147558.0,4862061.5,4418206.5,5136177.0,3975856.2,5276159.0,4565827.0,5774528.5,2594764.8,5507569.5,4666719.5,4777077.5,4405638.0,4944855.0,4426625.0,4992677.5,4295660.0,4695014.0,5520658.0,4877373.0,4405638.0,5967359.0,4781994.5,3982672.5,5164724.0,4017106.8,26.3,46.1,kolonya
4939598.0,4552406.0,5199402.0,5533808.5,6140874.5,4811708.5,5130505.5,4624911.0,5553652.5,5052398.5,5832520.5,4944855.0,5847201.0,7196694.0,4887635.0,4791858.0,5573639.5,6641203.0,5760210.5,4714068.5,6052873.5,5398775.0,6324783.0,5085580.0,5068935.0,5832520.5,5386257.5,5035970.0,5774528.5,5573639.5,5423985.0,5975033.0,5306288.0,5176232.0,6076623.0,5914187.5,4508234.0,5566961.0,5861955.5,5788918.0,4742942.0,7230292.0,4971309.5,5641313.5,6501799.5,5847201.0,7130426.5,4939598.0,5468674.5,4781994.5,5199402.0,5035970.0,5788918.0,6766947.0,5514106.0,6737508.5,8214614.0,5216916.5,5655046.0,4971309.5,5306288.0,5153267.5,5641313.5,5944454.5,26.3,46.0,kolonya
4867154.5,4490804.0,5096737.5,5330640.0,4846845.0,6290530.5,5774528.5,5796140.0,5176232.0,4836754.0,4268037.5,4944855.0,4981970.5,5063411.0,4939598.0,4376588.0,5063411.0,4565827.0,4950123.5,5008824.5,4512612.5,4723653.5,4291692.0,5641313.5,4135088.8,4791858.0,4539064.0,4629519.5,4588372.5,4384849.0,4539064.0,5252301.5,4652699.5,5234549.0,4372469.0,5668845.5,5130505.5,5944454.5,4998048.5,4405638.0,4714068.5,4252412.5,4512612.5,5430324.5,4836754.0,4856978.5,8993778.0,5839851.5,3358041.2,5216916.5,4955403.0,4574818.5,5276159.0,4690274.5,5234549.0,5187791.0,5514106.0,4547950.0,5216916.5,5176232.0,4376588.0,4233041.0,5436679.0,5282157.5,26.3,46.1,kolonya
3828432.5,4430846.5,4762388.0,4157288.5,4331704.0,5553652.5,2826834.8,6866961.0,4742942.0,4080612.8,3999815.5,4443559.5,4384849.0,3969063.5,4295660.0,3869886.5,1713448.0,16919832.0,1786220.1,1758420.1,1602354.0,35850200.0,1777903.0,1716062.8,1616852.0,32131298.0,1725095.2,1711543.9,1873547.4,1610128.1,7309921.0,4443559.5,1909967.0,9831117.0,2115128.0,1793335.8,1857285.6,6938748.0,2034311.5,1772238.2,1872254.1,9936240.0,1952861.5,1775256.8,1709665.0,9355992.0,1844866.8,1747900.0,2237400.5,7065367.5,2327502.2,1716673.9,2095141.5,6474618.0,2252418.0,1748481.1,1885168.2,7893621.5,2189501.0,1805312.6,1902147.6,9028733.0,2156525.0,1850798.9,26.3,46.0,kolonya
1778376.2,28399668.0,1806271.0,1719173.8,1756857.6,17897480.0,1744368.5,1740092.1,1816619.4,39175260.0,1756284.6,1736071.0,1834336.6,1792863.4,2461659.5,11534160.0,1889000.5,15203487.0,2161157.5,1769392.2,1861751.0,10065394.0,2106962.0,1755964.8,1843285.6,11426920.0,2031311.1,1724375.2,1757522.2,17493170.0,1914851.2,1710354.6,1739935.1,1520050.2,43180164.0,1684383.1,2305113.0,11288109.0,2444288.8,1694299.2,2147432.8,10521254.0,2333981.8,1701926.0,2083865.1,8531373.0,2204352.2,1727439.1,1724246.8,1717247.9,24635132.0,1781132.8,1718203.5,1647233.1,104174568.0,1727336.0,1728471.5,1503328.1,47121560.0,1715960.9,1719505.9,1604013.6,16155027.0,1709975.5,26.3,46.0,kolonya
2238478.5,10153378.0,2267071.2,1711088.2,2230954.5,16268157.0,2133696.0,1772699.9,2118064.2,11834401.0,2068167.8,1805763.5,1866203.6,1817022.5,1812184.1,4033473.8,2694065.8,9509181.0,2724622.2,1740144.4,1719327.0,1621365.8,70826000.0,1739778.1,2409097.8,11426920.0,2537294.8,1685389.1,2415359.5,8756475.0,2408316.2,1669122.4,1741821.1,1923408.6,13641180.0,1943250.9,1730513.9,1788645.6,76669728.0,1865180.6,1706293.5,1803223.5,29859806.0,1789314.1,1715706.5,1812367.6,67728656.0,1763808.5,1685659.2,2425446.8,14629048.0,2302947.2,1687774.0,2305113.0,15253400.0,2195609.0,1747926.4,1906831.5,8890520.0,2119701.0,1783659.0,2026601.1,15203487.0,2056221.6,26.3,46.0,kolonya
